"Country","Status","Life.expectancy","Infant.deaths","Alcohol","Percentage.expenditure","Hepatitis.B","BMI","Polio","Diphteria","HIV.AIDS","GDP","Thinness.10.19.years","HDI","Schooling","Homicides","Fertility","Unemployment.rate..women"
"Bahamas, The","Developing",73.329,0.76,8.69,5.61615086,94,28.1730055313511,94,94,0.002645986,31562.63974,2.5,0.806,11.1,32.36,1.77,14.446
"Bosnia and Herzegovina","Developing",76.998,0.59,4.81,9.22786236,78,25.9354263701821,79,78,0,4994.68314,2.3,0.766,9.7,1.64,1.36,22.426
"Belarus","Developing",73.8268292682927,0.39,9.7,5.91054153,96,26.7711612650946,98,98,0.000315738,5022.626643,1.9,0.805,12.3,3.63,1.7,0.49
"Belize","Developing",74.219,1.49,6.11,6.04090405,97,29.1926517031958,96,95,0.005428882,4818.403909,3.5,0.709,10.5,35.5,2.51,16.449
"Brazil","Developing",75.23,1.63,6.33,9.20742226,89,26.7550698118554,72,89,0.001969315,8710.0967,2.7,0.758,7.8,32.95,1.73,13.388
"Barbados","Developing",78.888,1.28,9.27,6.68155098,97,27.963243877974,97,97,0,16900.16655,3.8,0.799,10.6,11.18,1.8,10.953
"Brunei Darussalam","Developing",75.45,1.05,0.66,2.54828691,96,27.3247582052674,99,99,0,27157.8234,5.7,0.852,9.1,1.31,1.87,7.773
"Bhutan","Developing",70.781,3.2,0.016,3.48117137,98,24.0806993992767,97,98,0.008144328,2930.562989,15.4,0.609,3.1,1.66,2.05,3.119
"Botswana","Developing",68.178,3.93,5.14,5.56052208,95,24.4652726746065,96,95,0.020370899,7243.870253,6.4,0.712,9.3,16.94,2.73,20.704
"Central African Republic","Developing",51.593,12.5,0.87,5.44402361,47,22.9307520529468,47,47,0.076470678,402.1913,8.2,0.362,4.3,22.03,4.87,6.774
"Canada","Developed",81.9,0.52,8.1,10.97903442,70,27.1089718534158,91,91,5.53871e-05,42322.4848,0.6,0.922,13.1,1.68,1.58,6.243
"Chile","Developed",79.779,0.77,7.78,8.51866722,95,28.1677039899789,95,95,0.000274588,13753.5944,0.8,0.842,10.3,4.01,1.77,7.341
"China","Developing",76.21,1,5.63,4.98188066,99,23.9342183610276,99,99,0.000640475,8147.9377,3.6,0.748,7.8,0.92,1.62,3.845
"Cote d'Ivoire","Developing",56.567,9.18,1.53,4.53622293,87,23.8630709613075,81,87,0.06241942,2013.3825,5.5,0.486,5.1,11.99,4.91,11.333
"Cameroon","Developing",58.063,8.68,4.15,3.72961879,75,24.4415793603353,75,75,0.05157453,1364.3301,5.6,0.553,6.3,6.93,4.71,5.107
"Congo, Rep.","Developing",63.556,4.94,0.61,3.46238065,71,23.3070208646761,71,57,0.116844031,2074.9702,7.5,0.612,6.3,10.5,4.66,12.677
"Colombia","Developing",76.732,1.52,4.54,7.53117037,91,26.3726318265829,91,91,0.00114167,5870.778,2.1,0.747,8.3,43.07,1.85,11.39
"Comoros","Developing",63.7,7.11,0.23,4.70250511,91,24.5607171655906,92,91,0,1273.059,6.7,0.502,4.8,7.95,4.35,23.681
"Costa Rica","Developing",79.738,0.92,3.77,7.5334692,97,27.5072544267669,97,97,0.000816436,11666.4559,1.7,0.791,8.8,11.72,1.78,11.624
"Cuba","Developing",78.607,0.55,4.35,12.2177515,99,25.7872589805678,98,99,0.000529329,8060.7959,3.5,0.774,11.6,5.25,1.72,2.894
"Cyprus","Developed",80.513,0.28,9.59,6.83423901,97,26.9808669300143,97,97,0,24532.5191,1,0.867,12.1,1.28,1.34,13.468
"Czech Republic","Developed",79.0268292682927,0.32,12.93,7.1495986,97,27.3124945739661,96,96,9.46402e-05,18575.232,1.8,0.885,12.7,0.7,1.54,4.67
"Germany","Developed",80.990243902439,0.38,10.93,11.23043633,87,26.7472197054412,93,93,7.28609e-05,42107.5173,1.1,0.934,14.1,1,1.46,3.734
"Djibouti","Developing",65.064,6.37,0.33,2.72740006,68,24.1302191314279,68,68,0.031212599,2802.1971,5.6,0.474,4.1,6.92,2.85,7.004
"Dominican Republic","Developing",73.471,3.08,5.55,5.82759809,80,26.6266053123468,82,87,0.004327862,7280.8801,3.3,0.733,7.8,17.93,2.42,21.404
"Algeria","Developing",76.298,2.45,0.6,6.60778189,91,25.7132755998293,91,91,0.001060383,3945.482081,6,0.753,8,1.66,2.78,18.213
"Ecuador","Developing",76.365,1.48,3.34,8.29596043,83,27.4174999218009,79,83,0.001758523,6060.0933,1.2,0.749,8.7,7.6,2.49,6.112
